,,,,,,,,,
,modelo,,,,acurácia,,,,
,input_bits_,entry_count_,hash_count_,bpi_count_,média (%),desv. padrão,,,
,8,128,20,32,65.37,0.79,,,
,4,512,5,8,64.65,1.53,,,
,4,4096,10,8,64.92,0.71,,,
,8,1024,4,128,64.38,0.97,,,
,8,1024,2,32,64.38,0.96,,,
,,,,,,,,,
,modelo,,,,f1 score,,,,
,input_bits_,entry_count_,hash_count_,bpi_count_,média,desv. padrão,,,
,8,128,20,32,0.54,0.03,,,
,4,512,5,8,0.53,0.02,,,
,4,4096,10,8,0.54,0.03,,,
,8,1024,4,128,0.54,0.03,,,
,8,1024,2,32,0.54,0.04,,,
,,,,,,,,,
,modelo,,,,precisão,,,,
,input_bits_,entry_count_,hash_count_,bpi_count_,média,desv. padrão,,,
,8,128,20,32,0.49,0.05,,,
,4,512,5,8,0.48,0.05,,,
,4,4096,10,8,0.49,0.05,,,
,8,1024,4,128,0.48,0.05,,,
,8,1024,2,32,0.48,0.05,,,
,,,,,,,,,
,modelo,,,,recall,,,,
,input_bits_,entry_count_,hash_count_,bpi_count_,média,desv. padrão,,,
,8,128,20,32,0.59,0.01,,,
,4,512,5,8,0.58,0.02,,,
,4,4096,10,8,0.60,0.01,,,
,8,1024,4,128,0.62,0.02,,,
,8,1024,2,32,0.63,0.02,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
